"code_bss";"date_mesure";"niveau_nappe_eau"
"00945X0052/S4";"2016-07-18";"3.73"
"00945X0052/S4";"2016-07-19";"3.73"
"00945X0052/S4";"2016-07-20";"3.74"
"00945X0052/S4";"2016-07-21";"3.72"
"00945X0052/S4";"2016-07-22";"3.72"
"00945X0052/S4";"2016-07-23";"3.7"
"00945X0052/S4";"2016-07-24";"3.7"
"00945X0052/S4";"2016-07-25";"3.7"
"00945X0052/S4";"2016-07-26";"3.68"
"00945X0052/S4";"2016-07-27";"3.7"
"00945X0052/S4";"2016-07-28";"3.7"
"00945X0052/S4";"2016-07-29";"3.7"
"00945X0052/S4";"2016-07-30";"3.68"
"00945X0052/S4";"2016-07-31";"3.68"
"00945X0052/S4";"2016-08-01";"3.67"
"00945X0052/S4";"2016-08-02";"3.69"
"00945X0052/S4";"2016-08-03";"3.73"
"00945X0052/S4";"2016-08-04";"3.73"
"00945X0052/S4";"2016-08-05";"3.72"
"00945X0052/S4";"2016-08-06";"3.7"
"00945X0052/S4";"2016-08-07";"3.69"
"00945X0052/S4";"2016-08-08";"3.69"
"00945X0052/S4";"2016-08-09";"3.68"
"00945X0052/S4";"2016-08-10";"3.67"
"00945X0052/S4";"2016-08-11";"3.67"
"00945X0052/S4";"2016-08-12";"3.66"
"00945X0052/S4";"2016-08-13";"3.66"
"00945X0052/S4";"2016-08-14";"3.65"
"00945X0052/S4";"2016-08-15";"3.65"
"00945X0052/S4";"2016-08-16";"3.65"
"00945X0052/S4";"2016-08-17";"3.66"
"00945X0052/S4";"2016-08-18";"3.66"
"00945X0052/S4";"2016-08-19";"3.66"
"00945X0052/S4";"2016-08-20";"3.66"
"00945X0052/S4";"2016-08-21";"3.65"
"00945X0052/S4";"2016-08-22";"3.63"
"00945X0052/S4";"2016-08-23";"3.63"
"00945X0052/S4";"2016-08-24";"3.63"
"00945X0052/S4";"2016-08-25";"3.63"
"00945X0052/S4";"2016-08-26";"3.62"
"00945X0052/S4";"2016-08-27";"3.62"
"00945X0052/S4";"2016-08-28";"3.62"
"00945X0052/S4";"2016-08-29";"3.61"
"00945X0052/S4";"2016-08-30";"3.59"
"00945X0052/S4";"2016-08-31";"3.59"
"00945X0052/S4";"2016-09-01";"3.58"
"00945X0052/S4";"2016-09-02";"3.58"
"00945X0052/S4";"2016-09-03";"3.59"
"00945X0052/S4";"2016-09-04";"3.59"
"00945X0052/S4";"2016-09-05";"3.59"
"00945X0052/S4";"2016-09-06";"3.58"
"00945X0052/S4";"2016-09-07";"3.59"
"00945X0052/S4";"2016-09-08";"3.59"
"00945X0052/S4";"2016-09-09";"3.58"
"00945X0052/S4";"2016-09-10";"3.58"
"00945X0052/S4";"2016-09-11";"3.57"
"00945X0052/S4";"2016-09-12";"3.57"
"00945X0052/S4";"2016-09-13";"3.58"
"00945X0052/S4";"2016-09-14";"3.58"
"00945X0052/S4";"2016-09-15";"3.58"
"00945X0052/S4";"2016-09-16";"3.58"
"00945X0052/S4";"2016-09-17";"3.56"
"00945X0052/S4";"2016-09-18";"3.56"
"00945X0052/S4";"2016-09-19";"3.55"
"00945X0052/S4";"2016-09-20";"3.55"
"00945X0052/S4";"2016-09-21";"3.55"
"00945X0052/S4";"2016-09-22";"3.54"
"00945X0052/S4";"2016-09-23";"3.53"
"00945X0052/S4";"2016-09-24";"3.54"
"00945X0052/S4";"2016-09-25";"3.54"
"00945X0052/S4";"2016-09-26";"3.52"
"00945X0052/S4";"2016-09-27";"3.52"
"00945X0052/S4";"2016-09-28";"3.52"
"00945X0052/S4";"2016-09-29";"3.52"
"00945X0052/S4";"2016-09-30";"3.53"
"00945X0052/S4";"2016-10-01";"3.55"
"00945X0052/S4";"2016-10-02";"3.55"
"00945X0052/S4";"2016-10-03";"3.53"
"00945X0052/S4";"2016-10-04";"3.52"
"00945X0052/S4";"2016-10-05";"3.52"
"00945X0052/S4";"2016-10-06";"3.52"
"00945X0052/S4";"2016-10-07";"3.52"
"00945X0052/S4";"2016-10-08";"3.51"
"00945X0052/S4";"2016-10-09";"3.5"
"00945X0052/S4";"2016-10-10";"3.5"
"00945X0052/S4";"2016-10-11";"3.51"
"00945X0052/S4";"2016-10-12";"3.51"
"00945X0052/S4";"2016-10-13";"3.52"
"00945X0052/S4";"2016-10-14";"3.52"
"00945X0052/S4";"2016-10-15";"3.52"
"00945X0052/S4";"2016-10-16";"3.51"
"00945X0052/S4";"2016-10-17";"3.5"
"00945X0052/S4";"2016-10-18";"3.5"
"00945X0052/S4";"2016-10-19";"3.5"
"00945X0052/S4";"2016-10-20";"3.5"
"00945X0052/S4";"2016-10-21";"3.5"
"00945X0052/S4";"2016-10-22";"3.51"
"00945X0052/S4";"2016-10-23";"3.53"
"00945X0052/S4";"2016-10-24";"3.53"
"00945X0052/S4";"2016-10-25";"3.52"
"00945X0052/S4";"2016-10-26";"3.5"
"00945X0052/S4";"2016-10-27";"3.5"
"00945X0052/S4";"2016-10-28";"3.49"
"00945X0052/S4";"2016-10-29";"3.49"
"00945X0052/S4";"2016-10-30";"3.5"
"00945X0052/S4";"2016-10-31";"3.5"
"00945X0052/S4";"2016-11-01";"3.5"
"00945X0052/S4";"2016-11-02";"3.5"
"00945X0052/S4";"2016-11-03";"3.5"
"00945X0052/S4";"2016-11-04";"3.52"
"00945X0052/S4";"2016-11-05";"3.52"
"00945X0052/S4";"2016-11-06";"3.52"
"00945X0052/S4";"2016-11-07";"3.52"
"00945X0052/S4";"2016-11-08";"3.52"
"00945X0052/S4";"2016-11-09";"3.55"
"00945X0052/S4";"2016-11-10";"3.54"
"00945X0052/S4";"2016-11-11";"3.53"
"00945X0052/S4";"2016-11-12";"3.54"
"00945X0052/S4";"2016-11-13";"3.53"
"00945X0052/S4";"2016-11-14";"3.51"
"00945X0052/S4";"2016-11-15";"3.52"
"00945X0052/S4";"2016-11-16";"3.54"
"00945X0052/S4";"2016-11-17";"3.59"
"00945X0052/S4";"2016-11-18";"3.62"
"00945X0052/S4";"2016-11-19";"3.64"
"00945X0052/S4";"2016-11-20";"3.68"
"00945X0052/S4";"2016-11-21";"3.72"
"00945X0052/S4";"2016-11-22";"3.71"
"00945X0052/S4";"2016-11-23";"3.66"
"00945X0052/S4";"2016-11-24";"3.66"
"00945X0052/S4";"2016-11-25";"3.66"
"00945X0052/S4";"2016-11-26";"3.65"
"00945X0052/S4";"2016-11-27";"3.65"
"00945X0052/S4";"2016-11-28";"3.64"
"00945X0052/S4";"2016-11-29";"3.63"
"00945X0052/S4";"2016-11-30";"3.61"
"00945X0052/S4";"2016-12-01";"3.62"
"00945X0052/S4";"2016-12-02";"3.62"
"00945X0052/S4";"2016-12-03";"3.62"
"00945X0052/S4";"2016-12-04";"3.62"
"00945X0052/S4";"2016-12-05";"3.61"
"00945X0052/S4";"2016-12-06";"3.61"
"00945X0052/S4";"2016-12-07";"3.6"
"00945X0052/S4";"2016-12-08";"3.6"
"00945X0052/S4";"2016-12-09";"3.6"
"00945X0052/S4";"2016-12-10";"3.6"
"00945X0052/S4";"2016-12-11";"3.6"
"00945X0052/S4";"2016-12-12";"3.6"
"00945X0052/S4";"2016-12-13";"3.61"
"00945X0052/S4";"2016-12-14";"3.61"
"00945X0052/S4";"2016-12-15";"3.62"
"00945X0052/S4";"2016-12-16";"3.61"
"00945X0052/S4";"2016-12-17";"3.58"
"00945X0052/S4";"2016-12-18";"3.58"
"00945X0052/S4";"2016-12-19";"3.6"
"00945X0052/S4";"2016-12-20";"3.6"
"00945X0052/S4";"2016-12-21";"3.6"
"00945X0052/S4";"2016-12-22";"3.6"
"00945X0052/S4";"2016-12-23";"3.6"
"00945X0052/S4";"2016-12-24";"3.6"
"00945X0052/S4";"2016-12-25";"3.6"
"00945X0052/S4";"2016-12-26";"3.6"
"00945X0052/S4";"2016-12-27";"3.58"
"00945X0052/S4";"2016-12-28";"3.58"
"00945X0052/S4";"2016-12-29";"3.59"
"00945X0052/S4";"2016-12-30";"3.59"
"00945X0052/S4";"2016-12-31";"3.59"
"00945X0052/S4";"2017-01-01";"3.62"
"00945X0052/S4";"2017-01-02";"3.61"
"00945X0052/S4";"2017-01-03";"3.6"
"00945X0052/S4";"2017-01-04";"3.61"
"00945X0052/S4";"2017-01-05";"3.6"
"00945X0052/S4";"2017-01-06";"3.59"
"00945X0052/S4";"2017-01-07";"3.6"
"00945X0052/S4";"2017-01-08";"3.61"
"00945X0052/S4";"2017-01-09";"3.63"
"00945X0052/S4";"2017-01-10";"3.64"
"00945X0052/S4";"2017-01-11";"3.65"
"00945X0052/S4";"2017-01-12";"3.71"
"00945X0052/S4";"2017-01-13";"3.7"
"00945X0052/S4";"2017-01-14";"3.67"
"00945X0052/S4";"2017-01-15";"3.71"
"00945X0052/S4";"2017-01-16";"3.71"
"00945X0052/S4";"2017-01-17";"3.7"
"00945X0052/S4";"2017-01-18";"3.7"
"00945X0052/S4";"2017-01-19";"3.7"
"00945X0052/S4";"2017-01-20";"3.7"
"00945X0052/S4";"2017-01-21";"3.7"
"00945X0052/S4";"2017-01-22";"3.7"
"00945X0052/S4";"2017-01-23";"3.7"
"00945X0052/S4";"2017-01-24";"3.68"
"00945X0052/S4";"2017-01-25";"3.68"
"00945X0052/S4";"2017-01-26";"3.7"
"00945X0052/S4";"2017-01-27";"3.72"
"00945X0052/S4";"2017-01-28";"3.71"
"00945X0052/S4";"2017-01-29";"3.71"
"00945X0052/S4";"2017-01-30";"3.72"
"00945X0052/S4";"2017-01-31";"3.73"
"00945X0052/S4";"2017-02-01";"3.74"
"00945X0052/S4";"2017-02-02";"3.75"
"00945X0052/S4";"2017-02-03";"3.75"
"00945X0052/S4";"2017-02-04";"3.76"
"00945X0052/S4";"2017-02-05";"3.8"
"00945X0052/S4";"2017-02-06";"3.79"
"00945X0052/S4";"2017-02-07";"3.8"
"00945X0052/S4";"2017-02-08";"3.79"
"00945X0052/S4";"2017-02-09";"3.8"
"00945X0052/S4";"2017-02-10";"3.81"
"00945X0052/S4";"2017-02-11";"3.83"
"00945X0052/S4";"2017-02-12";"3.84"
"00945X0052/S4";"2017-02-13";"3.84"
"00945X0052/S4";"2017-02-14";"3.84"
"00945X0052/S4";"2017-02-15";"3.81"
"00945X0052/S4";"2017-02-16";"3.8"
"00945X0052/S4";"2017-02-17";"3.8"
"00945X0052/S4";"2017-02-18";"3.8"
"00945X0052/S4";"2017-02-19";"3.79"
"00945X0052/S4";"2017-02-20";"3.79"
"00945X0052/S4";"2017-02-21";"3.79"
"00945X0052/S4";"2017-02-22";"3.8"
"00945X0052/S4";"2017-02-23";"3.83"
"00945X0052/S4";"2017-02-24";"3.79"
"00945X0052/S4";"2017-02-25";"3.79"
"00945X0052/S4";"2017-02-26";"3.79"
"00945X0052/S4";"2017-02-27";"3.85"
"00945X0052/S4";"2017-02-28";"3.86"
"00945X0052/S4";"2017-03-01";"3.87"
"00945X0052/S4";"2017-03-02";"3.86"
"00945X0052/S4";"2017-03-03";"3.88"
"00945X0052/S4";"2017-03-04";"3.88"
"00945X0052/S4";"2017-03-05";"3.88"
"00945X0052/S4";"2017-03-06";"3.89"
"00945X0052/S4";"2017-03-07";"3.88"
"00945X0052/S4";"2017-03-08";"3.88"
"00945X0052/S4";"2017-03-09";"3.88"
"00945X0052/S4";"2017-03-10";"3.88"
"00945X0052/S4";"2017-03-11";"3.89"
"00945X0052/S4";"2017-03-12";"3.89"
"00945X0052/S4";"2017-03-13";"3.88"
"00945X0052/S4";"2017-03-14";"3.87"
"00945X0052/S4";"2017-03-15";"3.87"
"00945X0052/S4";"2017-03-16";"3.88"
"00945X0052/S4";"2017-03-17";"3.88"
"00945X0052/S4";"2017-03-18";"3.88"
"00945X0052/S4";"2017-03-19";"3.88"
"00945X0052/S4";"2017-03-20";"3.88"
"00945X0052/S4";"2017-03-21";"3.88"
"00945X0052/S4";"2017-03-22";"3.88"
"00945X0052/S4";"2017-03-23";"3.87"
"00945X0052/S4";"2017-03-24";"3.87"
"00945X0052/S4";"2017-03-25";"3.86"
"00945X0052/S4";"2017-03-26";"3.86"
"00945X0052/S4";"2017-03-27";"3.85"
"00945X0052/S4";"2017-03-28";"3.85"
"00945X0052/S4";"2017-03-29";"3.84"
"00945X0052/S4";"2017-03-30";"3.84"
"00945X0052/S4";"2017-03-31";"3.84"
"00945X0052/S4";"2017-04-01";"3.84"
"00945X0052/S4";"2017-04-02";"3.81"
"00945X0052/S4";"2017-04-03";"3.79"
"00945X0052/S4";"2017-04-04";"3.79"
"00945X0052/S4";"2017-04-05";"3.78"
"00945X0052/S4";"2017-04-06";"3.77"
"00945X0052/S4";"2017-04-07";"3.77"
"00945X0052/S4";"2017-04-08";"3.77"
"00945X0052/S4";"2017-04-09";"3.77"
"00945X0052/S4";"2017-04-10";"3.76"
"00945X0052/S4";"2017-04-11";"3.75"
"00945X0052/S4";"2017-04-12";"3.75"
"00945X0052/S4";"2017-04-13";"3.75"
"00945X0052/S4";"2017-04-14";"3.75"
"00945X0052/S4";"2017-04-15";"3.75"
"00945X0052/S4";"2017-04-16";"3.74"
"00945X0052/S4";"2017-04-17";"3.74"
"00945X0052/S4";"2017-04-18";"3.73"
"00945X0052/S4";"2017-04-19";"3.72"
"00945X0052/S4";"2017-04-20";"3.71"
"00945X0052/S4";"2017-04-21";"3.71"
"00945X0052/S4";"2017-04-22";"3.71"
"00945X0052/S4";"2017-04-23";"3.71"
"00945X0052/S4";"2017-04-24";"3.73"
"00945X0052/S4";"2017-04-25";"3.73"
"00945X0052/S4";"2017-04-26";"3.73"
"00945X0052/S4";"2017-04-27";"3.73"
"00945X0052/S4";"2017-04-28";"3.73"
"00945X0052/S4";"2017-04-29";"3.74"
"00945X0052/S4";"2017-04-30";"3.76"
"00945X0052/S4";"2017-05-01";"3.79"
"00945X0052/S4";"2017-05-02";"3.79"
"00945X0052/S4";"2017-05-03";"3.78"
"00945X0052/S4";"2017-05-04";"3.78"
"00945X0052/S4";"2017-05-05";"3.79"
"00945X0052/S4";"2017-05-06";"3.79"
"00945X0052/S4";"2017-05-07";"3.79"
"00945X0052/S4";"2017-05-08";"3.77"
"00945X0052/S4";"2017-05-09";"3.77"
"00945X0052/S4";"2017-05-10";"3.79"
"00945X0052/S4";"2017-05-11";"3.8"
"00945X0052/S4";"2017-05-12";"3.8"
"00945X0052/S4";"2017-05-13";"3.79"
"00945X0052/S4";"2017-05-14";"3.77"
"00945X0052/S4";"2017-05-15";"3.75"
"00945X0052/S4";"2017-05-16";"3.75"
"00945X0052/S4";"2017-05-17";"3.75"
"00945X0052/S4";"2017-05-18";"3.76"
"00945X0052/S4";"2017-05-19";"3.77"
"00945X0052/S4";"2017-05-20";"3.76"
"00945X0052/S4";"2017-05-21";"3.75"
"00945X0052/S4";"2017-05-22";"3.75"
"00945X0052/S4";"2017-05-23";"3.75"
"00945X0052/S4";"2017-05-24";"3.73"
"00945X0052/S4";"2017-05-25";"3.73"
"00945X0052/S4";"2017-05-26";"3.74"
"00945X0052/S4";"2017-05-27";"3.74"
"00945X0052/S4";"2017-05-28";"3.73"
"00945X0052/S4";"2017-05-29";"3.77"
"00945X0052/S4";"2017-05-30";"3.78"
"00945X0052/S4";"2017-05-31";"3.76"
"00945X0052/S4";"2017-06-01";"3.76"
"00945X0052/S4";"2017-06-02";"3.76"
"00945X0052/S4";"2017-06-03";"3.75"
"00945X0052/S4";"2017-06-04";"3.75"
"00945X0052/S4";"2017-06-05";"3.76"
"00945X0052/S4";"2017-06-06";"3.77"
"00945X0052/S4";"2017-06-07";"3.75"
"00945X0052/S4";"2017-06-08";"3.74"
"00945X0052/S4";"2017-06-09";"3.75"
"00945X0052/S4";"2017-06-10";"3.73"
"00945X0052/S4";"2017-06-11";"3.73"
"00945X0052/S4";"2017-06-12";"3.72"
"00945X0052/S4";"2017-06-13";"3.71"
"00945X0052/S4";"2017-06-14";"3.71"
"00945X0052/S4";"2017-06-15";"3.71"
"00945X0052/S4";"2017-06-16";"3.68"
"00945X0052/S4";"2017-06-17";"3.66"
"00945X0052/S4";"2017-06-18";"3.66"
"00945X0052/S4";"2017-06-19";"3.67"
"00945X0052/S4";"2017-06-20";"3.67"
"00945X0052/S4";"2017-06-21";"3.67"
"00945X0052/S4";"2017-06-22";"3.66"
"00945X0052/S4";"2017-06-23";"3.65"
"00945X0052/S4";"2017-06-24";"3.64"
"00945X0052/S4";"2017-06-25";"3.65"
"00945X0052/S4";"2017-06-26";"3.65"
"00945X0052/S4";"2017-06-27";"3.67"
"00945X0052/S4";"2017-06-28";"3.7"
"00945X0052/S4";"2017-06-29";"3.7"
"00945X0052/S4";"2017-06-30";"3.68"
"00945X0052/S4";"2017-07-01";"3.66"
"00945X0052/S4";"2017-07-02";"3.64"
"00945X0052/S4";"2017-07-03";"3.63"
"00945X0052/S4";"2017-07-04";"3.63"
"00945X0052/S4";"2017-07-05";"3.63"
"00945X0052/S4";"2017-07-06";"3.63"
"00945X0052/S4";"2017-07-07";"3.63"
"00945X0052/S4";"2017-07-08";"3.62"
"00945X0052/S4";"2017-07-09";"3.62"
"00945X0052/S4";"2017-07-10";"3.62"
"00945X0052/S4";"2017-07-11";"3.61"
"00945X0052/S4";"2017-07-12";"3.61"
"00945X0052/S4";"2017-07-13";"3.59"
"00945X0052/S4";"2017-07-14";"3.58"
"00945X0052/S4";"2017-07-15";"3.56"
"00945X0052/S4";"2017-07-16";"3.55"
"00945X0052/S4";"2017-07-17";"3.56"
"00945X0052/S4";"2017-07-18";"3.58"
"00945X0052/S4";"2017-07-19";"3.59"
"00945X0052/S4";"2017-07-20";"3.58"
"00945X0052/S4";"2017-07-21";"3.58"
"00945X0052/S4";"2017-07-22";"3.6"
"00945X0052/S4";"2017-07-23";"3.6"
"00945X0052/S4";"2017-07-24";"3.59"
"00945X0052/S4";"2017-07-25";"3.58"
"00945X0052/S4";"2017-07-26";"3.59"
"00945X0052/S4";"2017-07-27";"3.59"
"00945X0052/S4";"2017-07-28";"3.58"
"00945X0052/S4";"2017-07-29";"3.58"
"00945X0052/S4";"2017-07-30";"3.58"
"00945X0052/S4";"2017-07-31";"3.56"
"00945X0052/S4";"2017-08-01";"3.55"
"00945X0052/S4";"2017-08-02";"3.56"
"00945X0052/S4";"2017-08-03";"3.58"
"00945X0052/S4";"2017-08-04";"3.56"
"00945X0052/S4";"2017-08-05";"3.56"
"00945X0052/S4";"2017-08-06";"3.54"
"00945X0052/S4";"2017-08-07";"3.54"
"00945X0052/S4";"2017-08-08";"3.54"
"00945X0052/S4";"2017-08-09";"3.54"
"00945X0052/S4";"2017-08-10";"3.55"
"00945X0052/S4";"2017-08-11";"3.54"
"00945X0052/S4";"2017-08-12";"3.55"
"00945X0052/S4";"2017-08-13";"3.54"
"00945X0052/S4";"2017-08-14";"3.54"
"00945X0052/S4";"2017-08-15";"3.55"
"00945X0052/S4";"2017-08-16";"3.53"
"00945X0052/S4";"2017-08-17";"3.55"
"00945X0052/S4";"2017-08-18";"3.55"
"00945X0052/S4";"2017-08-19";"3.54"
"00945X0052/S4";"2017-08-20";"3.52"
"00945X0052/S4";"2017-08-21";"3.52"
"00945X0052/S4";"2017-08-22";"3.52"
"00945X0052/S4";"2017-08-23";"3.52"
"00945X0052/S4";"2017-08-24";"3.51"
"00945X0052/S4";"2017-08-25";"3.51"
"00945X0052/S4";"2017-08-26";"3.5"
"00945X0052/S4";"2017-08-27";"3.5"
"00945X0052/S4";"2017-08-28";"3.5"
"00945X0052/S4";"2017-08-29";"3.5"
"00945X0052/S4";"2017-08-30";"3.5"
"00945X0052/S4";"2017-08-31";"3.5"
"00945X0052/S4";"2017-09-01";"3.5"
"00945X0052/S4";"2017-09-02";"3.5"
"00945X0052/S4";"2017-09-03";"3.52"
"00945X0052/S4";"2017-09-04";"3.52"
"00945X0052/S4";"2017-09-05";"3.51"
"00945X0052/S4";"2017-09-06";"3.5"
"00945X0052/S4";"2017-09-07";"3.5"
"00945X0052/S4";"2017-09-08";"3.55"
"00945X0052/S4";"2017-09-09";"3.56"
"00945X0052/S4";"2017-09-10";"3.56"
"00945X0052/S4";"2017-09-11";"3.58"
"00945X0052/S4";"2017-09-12";"3.56"
"00945X0052/S4";"2017-09-13";"3.58"
"00945X0052/S4";"2017-09-14";"3.58"
"00945X0052/S4";"2017-09-15";"3.56"
"00945X0052/S4";"2017-09-16";"3.6"
"00945X0052/S4";"2017-09-17";"3.6"
"00945X0052/S4";"2017-09-18";"3.59"
"00945X0052/S4";"2017-09-19";"3.58"
"00945X0052/S4";"2017-09-20";"3.56"
"00945X0052/S4";"2017-09-21";"3.56"
"00945X0052/S4";"2017-09-22";"3.55"
"00945X0052/S4";"2017-09-23";"3.55"
"00945X0052/S4";"2017-09-24";"3.58"
"00945X0052/S4";"2017-09-25";"3.59"
"00945X0052/S4";"2017-09-26";"3.59"
"00945X0052/S4";"2017-09-27";"3.6"
"00945X0052/S4";"2017-09-28";"3.59"
"00945X0052/S4";"2017-09-29";"3.6"
"00945X0052/S4";"2017-09-30";"3.6"
"00945X0052/S4";"2017-10-01";"3.61"
"00945X0052/S4";"2017-10-02";"3.61"
"00945X0052/S4";"2017-10-03";"3.6"
"00945X0052/S4";"2017-10-04";"3.59"
"00945X0052/S4";"2017-10-05";"3.6"
"00945X0052/S4";"2017-10-06";"3.59"
"00945X0052/S4";"2017-10-07";"3.6"
"00945X0052/S4";"2017-10-08";"3.6"
"00945X0052/S4";"2017-10-09";"3.6"
"00945X0052/S4";"2017-10-10";"3.6"
"00945X0052/S4";"2017-10-11";"3.61"
"00945X0052/S4";"2017-10-12";"3.6"
"00945X0052/S4";"2017-10-13";"3.59"
"00945X0052/S4";"2017-10-14";"3.59"
"00945X0052/S4";"2017-10-15";"3.6"
"00945X0052/S4";"2017-10-16";"3.6"
"00945X0052/S4";"2017-10-17";"3.6"
"00945X0052/S4";"2017-10-18";"3.61"
"00945X0052/S4";"2017-10-19";"3.63"
"00945X0052/S4";"2017-10-20";"3.64"
"00945X0052/S4";"2017-10-21";"3.64"
"00945X0052/S4";"2017-10-22";"3.64"
"00945X0052/S4";"2017-10-23";"3.65"
"00945X0052/S4";"2017-10-24";"3.65"
"00945X0052/S4";"2017-10-25";"3.65"
"00945X0052/S4";"2017-10-26";"3.65"
"00945X0052/S4";"2017-10-27";"3.64"
"00945X0052/S4";"2017-10-28";"3.63"
"00945X0052/S4";"2017-10-29";"3.64"
"00945X0052/S4";"2017-10-30";"3.63"
"00945X0052/S4";"2017-10-31";"3.63"
"00945X0052/S4";"2017-11-01";"3.64"
"00945X0052/S4";"2017-11-02";"3.64"
"00945X0052/S4";"2017-11-03";"3.65"
"00945X0052/S4";"2017-11-04";"3.66"
"00945X0052/S4";"2017-11-05";"3.65"
"00945X0052/S4";"2017-11-06";"3.63"
"00945X0052/S4";"2017-11-07";"3.64"
"00945X0052/S4";"2017-11-08";"3.64"
"00945X0052/S4";"2017-11-09";"3.63"
"00945X0052/S4";"2017-11-10";"3.63"
"00945X0052/S4";"2017-11-11";"3.67"
"00945X0052/S4";"2017-11-12";"3.72"
"00945X0052/S4";"2017-11-13";"3.71"
"00945X0052/S4";"2017-11-14";"3.71"
"00945X0052/S4";"2017-11-15";"3.71"
"00945X0052/S4";"2017-11-16";"3.71"
"00945X0052/S4";"2017-11-17";"3.7"
"00945X0052/S4";"2017-11-18";"3.71"
"00945X0052/S4";"2017-11-19";"3.71"
"00945X0052/S4";"2017-11-20";"3.71"
"00945X0052/S4";"2017-11-21";"3.72"
"00945X0052/S4";"2017-11-22";"3.74"
"00945X0052/S4";"2017-11-23";"3.74"
"00945X0052/S4";"2017-11-24";"3.74"
"00945X0052/S4";"2017-11-25";"3.74"
"00945X0052/S4";"2017-11-26";"3.73"
"00945X0052/S4";"2017-11-27";"3.79"
"00945X0052/S4";"2017-11-28";"3.81"
"00945X0052/S4";"2017-11-29";"3.81"
"00945X0052/S4";"2017-11-30";"3.81"
"00945X0052/S4";"2017-12-01";"3.81"
"00945X0052/S4";"2017-12-02";"3.8"
"00945X0052/S4";"2017-12-03";"3.8"
"00945X0052/S4";"2017-12-04";"3.79"
"00945X0052/S4";"2017-12-05";"3.78"
"00945X0052/S4";"2017-12-06";"3.79"
"00945X0052/S4";"2017-12-07";"3.83"
"00945X0052/S4";"2017-12-08";"3.81"
"00945X0052/S4";"2017-12-09";"3.83"
"00945X0052/S4";"2017-12-10";"3.91"
"00945X0052/S4";"2017-12-11";"4.0"
"00945X0052/S4";"2017-12-12";"3.93"
"00945X0052/S4";"2017-12-13";"3.98"
"00945X0052/S4";"2017-12-14";"4.03"
"00945X0052/S4";"2017-12-15";"4.03"
"00945X0052/S4";"2017-12-16";"4.02"
"00945X0052/S4";"2017-12-17";"4.0"
"00945X0052/S4";"2017-12-18";"4.01"
"00945X0052/S4";"2017-12-19";"4.0"
"00945X0052/S4";"2017-12-20";"3.99"
"00945X0052/S4";"2017-12-21";"3.98"
"00945X0052/S4";"2017-12-22";"3.98"
"00945X0052/S4";"2017-12-23";"3.98"
"00945X0052/S4";"2017-12-24";"3.98"
"00945X0052/S4";"2017-12-25";"4.0"
"00945X0052/S4";"2017-12-26";"4.05"
"00945X0052/S4";"2017-12-27";"4.06"
"00945X0052/S4";"2017-12-28";"4.02"
"00945X0052/S4";"2017-12-29";"4.02"
"00945X0052/S4";"2017-12-30";"4.05"
"00945X0052/S4";"2017-12-31";"4.07"
"00945X0052/S4";"2018-01-01";"4.12"
"00945X0052/S4";"2018-01-02";"4.08"
"00945X0052/S4";"2018-01-03";"4.12"
"00945X0052/S4";"2018-01-04";"4.17"
"00945X0052/S4";"2018-01-05";"4.17"
"00945X0052/S4";"2018-01-06";"4.18"
"00945X0052/S4";"2018-01-07";"4.15"
"00945X0052/S4";"2018-01-08";"4.15"
"00945X0052/S4";"2018-01-09";"4.18"
"00945X0052/S4";"2018-01-10";"4.18"
"00945X0052/S4";"2018-01-11";"4.17"
"00945X0052/S4";"2018-01-12";"4.13"
"00945X0052/S4";"2018-01-13";"4.13"
"00945X0052/S4";"2018-01-14";"4.12"
"00945X0052/S4";"2018-01-15";"4.14"
"00945X0052/S4";"2018-01-16";"4.13"
"00945X0052/S4";"2018-01-17";"4.13"
"00945X0052/S4";"2018-01-18";"4.15"
"00945X0052/S4";"2018-01-19";"4.14"
"00945X0052/S4";"2018-01-20";"4.19"
"00945X0052/S4";"2018-01-21";"4.18"
"00945X0052/S4";"2018-01-22";"4.19"
"00945X0052/S4";"2018-01-23";"4.19"
"00945X0052/S4";"2018-01-24";"4.19"
"00945X0052/S4";"2018-01-25";"4.19"
"00945X0052/S4";"2018-01-26";"4.19"
"00945X0052/S4";"2018-01-27";"4.18"
"00945X0052/S4";"2018-01-28";"4.17"
"00945X0052/S4";"2018-01-29";"4.17"
"00945X0052/S4";"2018-01-30";"4.17"
"00945X0052/S4";"2018-01-31";"4.19"
"00945X0052/S4";"2018-02-01";"4.19"
"00945X0052/S4";"2018-02-02";"4.19"
"00945X0052/S4";"2018-02-03";"4.19"
"00945X0052/S4";"2018-02-04";"4.19"
"00945X0052/S4";"2018-02-05";"4.19"
"00945X0052/S4";"2018-02-06";"4.2"
"00945X0052/S4";"2018-02-07";"4.19"
"00945X0052/S4";"2018-02-08";"4.19"
"00945X0052/S4";"2018-02-09";"4.19"
"00945X0052/S4";"2018-02-10";"4.19"
"00945X0052/S4";"2018-02-11";"4.2"
"00945X0052/S4";"2018-02-12";"4.19"
"00945X0052/S4";"2018-02-13";"4.19"
"00945X0052/S4";"2018-02-14";"4.19"
"00945X0052/S4";"2018-02-15";"4.19"
"00945X0052/S4";"2018-02-16";"4.17"
"00945X0052/S4";"2018-02-17";"4.18"
"00945X0052/S4";"2018-02-18";"4.17"
"00945X0052/S4";"2018-02-19";"4.17"
